,Country,Year,Month,Holiday,Product_ID,Expense_Price,Sales
0,Argentina,2016,4,1.0,1,8214.875,19956080.60896047
1,Argentina,2016,4,1.0,2,3087.389,6943904.468047226
2,Argentina,2016,5,2.0,1,10777.878,26487117.24786171
3,Argentina,2016,5,2.0,2,3424.0240000000003,7825019.767232915
4,Argentina,2016,6,2.0,1,10320.673,25239388.74868633
5,Argentina,2016,6,2.0,2,3544.3790000000004,8042982.730100699
6,Argentina,2016,7,1.0,1,7377.5869999999995,17568872.883162178
7,Argentina,2016,7,1.0,2,3303.667,7230363.012245072
8,Argentina,2016,8,1.0,1,9805.705,23643315.73646406
9,Argentina,2016,8,1.0,2,3828.908,8475817.41028982
10,Argentina,2016,10,1.0,1,7284.9,17071261.611981247
11,Argentina,2016,10,1.0,2,3367.1859999999997,7129160.426776301
12,Argentina,2016,11,1.0,1,10381.438,24841974.094514538
13,Argentina,2016,11,1.0,2,3567.157,7549167.318313018
14,Argentina,2016,12,2.0,1,6865.382,15945999.04016027
15,Argentina,2016,12,2.0,2,3616.0409999999997,7700048.210866699
16,Argentina,2017,1,1.0,1,10704.393999999998,26536204.862951558
17,Argentina,2017,1,1.0,2,3652.5290000000005,8640473.991732966
18,Argentina,2017,1,1.0,3,,-628659.2068352413
19,Argentina,2017,2,2.0,1,7253.269,17805007.169082653
20,Argentina,2017,2,2.0,2,3250.009,7645813.315043396
21,Argentina,2017,2,2.0,3,,-601832.7180327162
22,Argentina,2017,3,1.0,1,8427.013,20581895.177932005
23,Argentina,2017,3,1.0,2,2951.466,6686434.121217449
24,Argentina,2017,3,1.0,3,,-803590.3207637946
75,Argentina,2016,9,,1,9375.481,22349765.690409243
76,Argentina,2016,9,,2,3415.8759999999997,7225896.022063536
