S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,19509720.78
79074,2016,5,1,Argentina,19509720.78
79075,2016,6,1,Argentina,19509720.78
79076,2016,7,1,Argentina,19509720.78
79077,2016,8,1,Argentina,19509720.78
79078,2016,9,1,Argentina,19509720.78
79079,2016,10,1,Argentina,19509720.78
79080,2016,11,1,Argentina,19509720.78
79081,2016,12,1,Argentina,19509720.78
79082,2017,1,1,Argentina,19509720.78
79083,2017,2,1,Argentina,19509720.78
79084,2017,3,1,Argentina,19509720.78
79085,2016,4,2,Argentina,17507212.95
79086,2016,5,2,Argentina,17507212.95
79087,2016,6,2,Argentina,17507212.95
79088,2016,7,2,Argentina,17507212.95
79089,2016,8,2,Argentina,17507212.95
79090,2016,9,2,Argentina,17507212.95
79091,2016,10,2,Argentina,17507212.95
79092,2016,11,2,Argentina,17507212.95
79093,2016,12,2,Argentina,17507212.95
79094,2017,1,2,Argentina,17507212.95
79095,2017,2,2,Argentina,17507212.95
79096,2017,3,2,Argentina,17507212.95
79097,2017,1,3,Argentina,17507212.95
79098,2017,2,3,Argentina,17507212.95
79099,2017,3,3,Argentina,17507212.95
79100,2016,4,2,Belgium,3178746.042
79101,2016,5,2,Belgium,3178746.042
79102,2016,6,2,Belgium,3178746.042
79103,2016,7,2,Belgium,3178746.042
79104,2016,8,2,Belgium,3178746.042
79105,2016,9,2,Belgium,3178746.042
79106,2016,10,2,Belgium,3178746.042
79107,2016,11,2,Belgium,3178746.042
79108,2016,12,2,Belgium,3178746.042
79109,2017,1,2,Belgium,3178746.042
79110,2017,2,2,Belgium,3178746.042
79111,2017,3,2,Belgium,3178746.042
79112,2016,4,1,Columbia,5181253.878
79113,2016,5,1,Columbia,5181253.878
79114,2016,6,1,Columbia,5181253.878
79115,2016,7,1,Columbia,5181253.878
79116,2016,8,1,Columbia,5181253.878
79117,2016,9,1,Columbia,5181253.878
79118,2016,10,1,Columbia,5181253.878
79119,2016,11,1,Columbia,5181253.878
79120,2016,12,1,Columbia,5181253.878
79121,2017,1,1,Columbia,5181253.878
79122,2017,2,1,Columbia,5181253.878
79123,2017,3,1,Columbia,5181253.878
79124,2016,4,2,Columbia,3178746.042
79125,2016,5,2,Columbia,3178746.042
79126,2016,6,2,Columbia,3178746.042
79127,2016,7,2,Columbia,3178746.042
79128,2016,8,2,Columbia,3178746.042
79129,2016,9,2,Columbia,3178746.042
79130,2016,10,2,Columbia,3178746.042
79131,2016,11,2,Columbia,3178746.042
79132,2016,12,2,Columbia,3178746.042
79133,2017,1,2,Columbia,3178746.042
79134,2017,2,2,Columbia,3178746.042
79135,2017,3,2,Columbia,3178746.042
79136,2017,1,3,Columbia,3178746.042
79137,2017,2,3,Columbia,3178746.042
79138,2017,3,3,Columbia,3178746.042
79139,2016,4,2,Denmark,125654019.1
79140,2016,5,2,Denmark,125654019.1
79141,2016,6,2,Denmark,125654019.1
79142,2016,7,2,Denmark,125654019.1
79143,2016,8,2,Denmark,125654019.1
79144,2016,9,2,Denmark,125654019.1
79145,2016,10,2,Denmark,125654019.1
79146,2016,11,2,Denmark,125654019.1
79147,2016,12,2,Denmark,125654019.1
79148,2017,1,2,Denmark,125654019.1
79149,2017,2,2,Denmark,125654019.1
79150,2017,3,2,Denmark,125654019.1
79151,2015,11,5,England,9925208.504
79152,2015,12,5,England,9925208.504
79153,2016,1,5,England,9925208.504
79154,2016,2,5,England,9925208.504
79155,2016,3,5,England,9925208.504
79156,2016,4,5,England,9925208.504
79157,2016,5,5,England,9925208.504
79158,2016,6,5,England,9925208.504
79159,2016,7,5,England,9925208.504
79160,2015,11,4,England,9925208.504
79161,2015,12,4,England,9925208.504
79162,2016,1,4,England,9925208.504
79163,2016,2,4,England,9925208.504
79164,2016,3,4,England,9925208.504
79165,2016,4,4,England,9925208.504
79166,2016,5,4,England,9925208.504
79167,2016,6,4,England,9925208.504
79168,2016,7,4,England,9925208.504
79169,2015,11,4,Finland,9925208.504
79170,2015,12,4,Finland,9925208.504
79171,2016,1,4,Finland,9925208.504
79172,2016,2,4,Finland,9925208.504
79173,2016,3,4,Finland,9925208.504
79174,2016,4,4,Finland,9925208.504
79175,2016,5,4,Finland,9925208.504
79176,2016,6,4,Finland,9925208.504
79177,2016,7,4,Finland,9925208.504
